Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-7.34399965	-0.00662252	0.00146489	0.00073244	-0.00585955
-7.33599965	-0.00500504	-0.00100711	-0.00100711	-0.00149541
-7.32799965	-0.00250252	-0.00299081	-0.00238044	0.00061037
-7.31999965	-0.00164800	-0.00088504	0.00158696	-0.00100711
-7.31199965	-0.00701926	-0.00433363	0.00134281	-0.00311289
-7.30399965	-0.00589007	0.00207526	-0.00051881	-0.00201422
-7.29599966	-0.00302133	-0.00149541	-0.00161748	-0.00225837
-7.28799966	-0.00375378	-0.00088504	-0.00238044	0.00384533
-7.27999966	-0.00250252	-0.00161748	-0.00396741	0.00369274
-7.27199966	-0.00762963	-0.00283822	-0.00064089	0.00109867
-7.26399966	-0.00762963	0.00000000	0.00061037	-0.00112919
-7.25599966	-0.00076296	-0.00247200	0.00061037	-0.00161748
-7.24799966	-0.00302133	0.00134281	0.00097659	-0.00161748
-7.23999966	-0.00686667	-0.00198370	-0.00100711	-0.00311289
-7.23199966	-0.00564592	0.00012207	-0.00112919	0.00048830
-7.22399966	-0.00512711	-0.00259407	-0.00112919	0.00012207
-7.21599966	-0.00512711	-0.00271615	0.00320444	-0.00473037
-7.20799966	-0.00201422	-0.00210578	0.00222785	-0.00347911
-7.19999966	-0.00314341	-0.00100711	-0.00088504	-0.00100711
-7.19199966	-0.00274667	-0.00015259	-0.00238044	0.00482192
-7.18399966	-0.00412000	-0.00311289	-0.00198370	0.00332652
-7.17599966	-0.00476089	-0.00100711	0.00097659	-0.00161748
-7.16799966	-0.00326548	-0.00198370	-0.00027467	-0.00399793
-7.15999966	-0.00152593	-0.00051881	-0.00509659	-0.00274667
-7.15199966	-0.00238044	-0.00531022	0.00048830	-0.00225837
-7.14399966	-0.00338756	-0.00222785	-0.00186163	0.00198370
-7.13599966	-0.00164800	0.00244148	0.00048830	-0.00149541
-7.12799966	-0.00100711	-0.00039674	0.00085452	-0.00186163
-7.11999966	-0.00314341	0.00183111	0.00036622	-0.00173956
-7.11199966	-0.00412000	-0.00311289	-0.00509659	0.00048830
-7.10399966	-0.00601215	0.00109867	-0.00646992	0.00183111
